"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 14, 2020","11,971.05","11,917.40","11,997.20","11,822.15","569.25K","0.31%"
"Oct 13, 2020","11,934.50","11,934.65","11,988.20","11,888.90","458.31K","0.03%"
"Oct 12, 2020","11,930.95","11,973.55","12,022.05","11,867.20","522.63K","0.14%"
"Oct 09, 2020","11,914.20","11,852.05","11,938.60","11,805.20","611.08K","0.67%"
"Oct 08, 2020","11,834.60","11,835.40","11,905.70","11,791.15","608.77K","0.82%"
"Oct 07, 2020","11,738.85","11,679.25","11,763.05","11,629.35","513.37K","0.66%"
"Oct 06, 2020","11,662.40","11,603.45","11,680.30","11,564.30","561.45K","1.38%"
"Oct 05, 2020","11,503.35","11,487.80","11,578.05","11,452.30","530.60K","0.76%"
"Oct 01, 2020","11,416.95","11,364.45","11,428.60","11,347.05","447.74K","1.51%"
"Sep 30, 2020","11,247.55","11,244.45","11,295.40","11,184.55","499.34K","0.22%"
"Sep 29, 2020","11,222.40","11,288.60","11,305.40","11,181.00","498.30K","-0.05%"
"Sep 28, 2020","11,227.55","11,140.85","11,239.35","11,099.85","472.78K","1.60%"
"Sep 25, 2020","11,050.25","10,910.40","11,072.60","10,854.85","559.60K","2.26%"
"Sep 24, 2020","10,805.55","11,011.00","11,015.30","10,790.20","706.14K","-2.93%"
"Sep 23, 2020","11,131.85","11,258.75","11,259.55","11,024.40","714.93K","-0.20%"
"Sep 22, 2020","11,153.65","11,301.75","11,302.20","11,084.65","672.25K","-0.86%"
"Sep 21, 2020","11,250.55","11,503.80","11,535.25","11,218.50","602.85K","-2.21%"
"Sep 18, 2020","11,504.95","11,584.10","11,584.10","11,446.10","764.15K","-0.10%"
"Sep 17, 2020","11,516.10","11,539.40","11,587.20","11,498.50","517.73K","-0.76%"
"Sep 16, 2020","11,604.55","11,538.45","11,618.10","11,516.75","527.81K","0.72%"
"Sep 15, 2020","11,521.80","11,487.20","11,535.95","11,442.25","506.67K","0.71%"
"Sep 14, 2020","11,440.05","11,540.15","11,568.90","11,383.55","642.27K","-0.21%"
"Sep 11, 2020","11,464.45","11,447.80","11,493.50","11,419.90","554.79K","0.13%"
"Sep 10, 2020","11,449.25","11,363.30","11,464.05","11,327.40","679.42K","1.52%"
"Sep 09, 2020","11,278.00","11,218.60","11,298.15","11,185.15","728.88K","-0.35%"
"Sep 08, 2020","11,317.35","11,378.55","11,437.25","11,290.45","572.24K","-0.33%"
"Sep 07, 2020","11,355.05","11,359.60","11,381.15","11,251.70","560.32K","0.19%"
"Sep 04, 2020","11,333.85","11,354.40","11,452.05","11,303.65","681.34K","-1.68%"
"Sep 03, 2020","11,527.45","11,566.20","11,584.95","11,507.65","607.12K","-0.07%"
"Sep 02, 2020","11,535.00","11,478.55","11,554.75","11,430.40","593.49K","0.56%"
"Sep 01, 2020","11,470.25","11,464.30","11,553.55","11,366.90","783.77K","0.73%"
"Aug 31, 2020","11,387.50","11,777.55","11,794.25","11,325.85","1.37M","-2.23%"
"Aug 28, 2020","11,647.60","11,602.95","11,686.05","11,589.40","807.00K","0.76%"
"Aug 27, 2020","11,559.25","11,609.30","11,617.35","11,540.60","719.78K","0.08%"
"Aug 26, 2020","11,549.60","11,512.85","11,561.75","11,461.85","743.44K","0.67%"
"Aug 25, 2020","11,472.25","11,513.10","11,525.90","11,423.35","638.15K","0.05%"
"Aug 24, 2020","11,466.45","11,412.00","11,497.25","11,410.65","532.90K","0.83%"
"Aug 21, 2020","11,371.60","11,409.65","11,418.50","11,362.20","668.72K","0.53%"
"Aug 20, 2020","11,312.20","11,317.45","11,361.45","11,289.80","791.59K","-0.84%"
"Aug 19, 2020","11,408.40","11,452.15","11,460.35","11,394.10","626.22K","0.20%"
"Aug 18, 2020","11,385.35","11,259.80","11,401.70","11,253.15","579.24K","1.23%"
"Aug 17, 2020","11,247.10","11,248.90","11,267.10","11,144.50","633.96K","0.61%"
"Aug 14, 2020","11,178.40","11,353.30","11,366.25","11,111.45","645.11K","-1.08%"
"Aug 13, 2020","11,300.45","11,334.85","11,359.30","11,269.95","562.36K","-0.07%"
"Aug 12, 2020","11,308.40","11,289.00","11,322.00","11,242.65","609.86K","-0.12%"
"Aug 11, 2020","11,322.50","11,322.25","11,373.60","11,299.15","586.09K","0.46%"
"Aug 10, 2020","11,270.15","11,270.25","11,337.30","11,238.00","492.00K","0.50%"
"Aug 07, 2020","11,214.05","11,186.65","11,231.90","11,142.05","452.63K","0.12%"
"Aug 06, 2020","11,200.15","11,185.70","11,256.80","11,127.30","600.38K","0.89%"
"Aug 05, 2020","11,101.65","11,155.75","11,225.65","11,064.05","667.64K","0.06%"
"Aug 04, 2020","11,095.25","10,946.65","11,112.25","10,908.10","625.74K","1.87%"
"Aug 03, 2020","10,891.60","11,057.55","11,058.05","10,882.25","680.93K","-1.64%"
"Jul 31, 2020","11,073.45","11,139.50","11,150.40","11,026.65","642.56K","-0.26%"
"Jul 30, 2020","11,102.15","11,254.30","11,299.95","11,084.95","677.76K","-0.90%"
"Jul 29, 2020","11,202.85","11,276.90","11,341.40","11,149.75","600.73K","-0.86%"
"Jul 28, 2020","11,300.55","11,154.10","11,317.75","11,151.40","683.89K","1.52%"
"Jul 27, 2020","11,131.80","11,225.00","11,225.00","11,087.85","588.15K","-0.56%"
"Jul 24, 2020","11,194.15","11,149.95","11,225.40","11,090.30","678.94K","-0.19%"
"Jul 23, 2020","11,215.45","11,135.00","11,239.80","11,103.15","621.58K","0.74%"
"Jul 22, 2020","11,132.60","11,231.20","11,238.10","11,056.55","765.07K","-0.27%"
"Jul 21, 2020","11,162.25","11,126.10","11,179.55","11,113.25","772.00K","1.27%"
"Jul 20, 2020","11,022.20","10,999.45","11,037.90","10,953.00","554.31K","1.11%"
"Jul 17, 2020","10,901.70","10,752.00","10,933.45","10,749.65","676.88K","1.51%"
"Jul 16, 2020","10,739.95","10,706.20","10,755.30","10,595.20","694.40K","1.15%"
"Jul 15, 2020","10,618.20","10,701.00","10,827.45","10,577.75","715.90K","0.10%"
"Jul 14, 2020","10,607.35","10,750.85","10,755.65","10,562.90","532.37K","-1.81%"
"Jul 13, 2020","10,802.70","10,851.85","10,894.05","10,756.05","554.05K","0.32%"
"Jul 10, 2020","10,768.05","10,764.10","10,819.40","10,713.00","590.71K","-0.42%"
"Jul 09, 2020","10,813.45","10,755.55","10,836.85","10,733.00","618.65K","1.01%"
"Jul 08, 2020","10,705.75","10,818.65","10,847.85","10,676.55","767.94K","-0.87%"
"Jul 07, 2020","10,799.65","10,802.85","10,813.80","10,689.70","636.77K","0.33%"
"Jul 06, 2020","10,763.65","10,723.85","10,811.40","10,695.10","571.21K","1.47%"
"Jul 03, 2020","10,607.35","10,614.95","10,631.30","10,562.65","525.19K","0.53%"
"Jul 02, 2020","10,551.70","10,493.05","10,598.20","10,485.55","597.42K","1.17%"
"Jul 01, 2020","10,430.05","10,323.80","10,447.05","10,299.60","573.55K","1.24%"
"Jun 30, 2020","10,302.10","10,382.60","10,401.05","10,267.35","556.24K","-0.10%"
"Jun 29, 2020","10,312.40","10,311.95","10,337.95","10,223.60","574.54K","-0.68%"
"Jun 26, 2020","10,383.00","10,378.90","10,409.85","10,311.25","671.91K","0.91%"
"Jun 25, 2020","10,288.90","10,235.55","10,361.80","10,194.50","994.19K","-0.16%"
"Jun 24, 2020","10,305.30","10,529.25","10,553.15","10,281.95","854.80K","-1.58%"
"Jun 23, 2020","10,471.00","10,347.95","10,484.70","10,301.75","669.20K","1.55%"
"Jun 22, 2020","10,311.20","10,318.75","10,393.65","10,277.60","685.39K","0.65%"
"Jun 19, 2020","10,244.40","10,119.00","10,272.40","10,072.65","892.10K","1.51%"
"Jun 18, 2020","10,091.65","9,863.25","10,111.20","9,845.05","622.90K","2.13%"
"Jun 17, 2020","9,881.15","9,876.70","10,003.60","9,833.80","685.42K","-0.33%"
"Jun 16, 2020","9,914.00","10,014.80","10,046.15","9,728.50","899.90K","1.02%"
"Jun 15, 2020","9,813.70","9,919.35","9,943.35","9,726.35","716.05K","-1.60%"
"Jun 12, 2020","9,972.90","9,544.95","9,996.05","9,544.35","796.31K","0.72%"
"Jun 11, 2020","9,902.00","10,094.10","10,112.05","9,885.05","715.45K","-2.12%"
"Jun 10, 2020","10,116.15","10,072.60","10,148.75","10,036.85","632.38K","0.69%"
"Jun 09, 2020","10,046.65","10,181.15","10,291.15","10,021.45","754.22K","-1.19%"
"Jun 08, 2020","10,167.45","10,326.75","10,328.50","10,120.25","936.49K","0.25%"
"Jun 05, 2020","10,142.15","10,093.80","10,177.80","10,040.75","987.12K","1.13%"
"Jun 04, 2020","10,029.10","10,054.25","10,123.85","9,944.25","775.11K","-0.32%"
"Jun 03, 2020","10,061.55","10,108.30","10,176.20","10,035.55","794.66K","0.83%"
"Jun 02, 2020","9,979.10","9,880.85","9,995.60","9,824.05","770.19K","1.56%"
"Jun 01, 2020","9,826.15","9,726.85","9,931.60","9,706.95","794.18K","2.57%"
"May 29, 2020","9,580.30","9,422.20","9,598.85","9,376.90","967.01K","0.95%"
"May 28, 2020","9,490.10","9,364.95","9,511.25","9,336.50","837.91K","1.88%"
"May 27, 2020","9,314.95","9,082.20","9,334.00","9,004.25","763.49K","3.17%"
"May 26, 2020","9,029.05","9,099.75","9,161.65","8,996.65","654.96K","-0.11%"
"May 22, 2020","9,039.25","9,067.90","9,149.60","8,968.55","675.76K","-0.74%"
"May 21, 2020","9,106.25","9,079.45","9,178.55","9,056.10","631.54K","0.44%"
"May 20, 2020","9,066.55","8,889.15","9,093.80","8,875.35","622.31K","2.11%"
"May 19, 2020","8,879.10","8,961.70","9,030.35","8,855.30","762.15K","0.63%"
"May 18, 2020","8,823.25","9,158.30","9,158.30","8,806.75","772.98K","-3.43%"
"May 15, 2020","9,136.85","9,182.40","9,182.40","9,050.00","575.86K","-0.06%"
"May 14, 2020","9,142.75","9,213.95","9,281.10","9,119.75","602.56K","-2.57%"
"May 13, 2020","9,383.55","9,584.20","9,584.50","9,351.10","846.40K","2.03%"
"May 12, 2020","9,196.55","9,168.85","9,240.85","9,043.95","805.46K","-0.46%"
"May 11, 2020","9,239.20","9,348.15","9,439.90","9,219.95","704.65K","-0.13%"
"May 08, 2020","9,251.50","9,376.95","9,382.65","9,238.20","609.05K","0.57%"
"May 07, 2020","9,199.05","9,234.05","9,277.85","9,175.90","708.74K","-0.78%"
"May 06, 2020","9,270.90","9,226.80","9,346.90","9,116.50","722.19K","0.71%"
"May 05, 2020","9,205.60","9,429.40","9,450.90","9,190.75","725.20K","-0.95%"
"May 04, 2020","9,293.50","9,533.50","9,533.50","9,266.95","687.49K","-5.74%"
"Apr 30, 2020","9,859.90","9,753.50","9,889.05","9,731.50","931.17K","3.21%"
"Apr 29, 2020","9,553.35","9,408.60","9,599.85","9,392.35","653.03K","1.84%"
"Apr 28, 2020","9,380.90","9,389.80","9,404.40","9,260.00","614.55K","1.06%"
"Apr 27, 2020","9,282.30","9,259.70","9,377.10","9,250.35","512.79K","1.40%"
"Apr 24, 2020","9,154.40","9,163.90","9,296.90","9,141.30","659.44K","-1.71%"
"Apr 23, 2020","9,313.90","9,232.35","9,343.60","9,170.15","666.65K","1.38%"
"Apr 22, 2020","9,187.30","9,026.75","9,209.75","8,946.25","734.38K","2.29%"
"Apr 21, 2020","8,981.45","9,016.95","9,044.40","8,909.40","655.12K","-3.03%"
"Apr 20, 2020","9,261.85","9,390.20","9,390.85","9,230.80","726.37K","-0.05%"
"Apr 17, 2020","9,266.75","9,323.45","9,324.00","9,091.35","684.21K","3.05%"
"Apr 16, 2020","8,992.80","8,851.25","9,053.75","8,821.90","719.44K","0.76%"
"Apr 15, 2020","8,925.30","9,196.40","9,261.20","8,874.10","879.15K","-0.76%"
"Apr 13, 2020","8,993.85","9,103.95","9,112.05","8,912.40","643.97K","-1.30%"
"Apr 09, 2020","9,111.90","8,973.05","9,128.35","8,904.55","742.14K","4.15%"
"Apr 08, 2020","8,748.75","8,688.90","9,131.70","8,653.90","896.53K","-0.49%"
"Apr 07, 2020","8,792.20","8,446.30","8,819.40","8,360.95","814.18K","8.76%"
"Apr 03, 2020","8,083.80","8,356.55","8,356.55","8,055.80","697.03K","-2.06%"
"Apr 01, 2020","8,253.80","8,584.10","8,588.10","8,198.35","506.34K","-4.00%"
"Mar 31, 2020","8,597.75","8,529.35","8,678.30","8,358.00","712.66K","3.82%"
"Mar 30, 2020","8,281.10","8,385.95","8,576.00","8,244.00","593.25K","-4.38%"
"Mar 27, 2020","8,660.25","8,949.10","9,038.90","8,522.90","801.45K","0.22%"
"Mar 26, 2020","8,641.45","8,451.00","8,749.05","8,304.90","865.59K","3.89%"
"Mar 25, 2020","8,317.85","7,735.15","8,376.75","7,714.75","736.87K","6.62%"
"Mar 24, 2020","7,801.05","7,848.30","8,036.95","7,511.10","738.43K","2.51%"
"Mar 23, 2020","7,610.25","7,945.70","8,159.25","7,583.60","653.54K","-12.98%"
"Mar 20, 2020","8,745.45","8,284.45","8,883.00","8,178.20","1.07M","5.83%"
"Mar 19, 2020","8,263.45","8,063.30","8,575.45","7,832.55","925.72K","-2.42%"
"Mar 18, 2020","8,468.80","9,088.45","9,127.55","8,407.05","1.52M","-5.56%"
"Mar 17, 2020","8,967.05","9,285.40","9,403.80","8,915.60","935.62K","-2.50%"
"Mar 16, 2020","9,197.40","9,587.80","9,602.20","9,165.10","897.73K","-7.61%"
"Mar 13, 2020","9,955.20","9,107.60","10,159.40","8,555.15","1.39M","3.81%"
"Mar 12, 2020","9,590.15","10,039.95","10,040.75","9,508.00","1.34M","-8.30%"
"Mar 11, 2020","10,458.40","10,334.30","10,545.10","10,334.00","1.22M","0.07%"
"Mar 09, 2020","10,451.45","10,742.05","10,751.55","10,294.45","1.57M","-4.90%"
"Mar 06, 2020","10,989.45","10,942.65","11,035.10","10,827.40","1.81M","-2.48%"
"Mar 05, 2020","11,269.00","11,306.05","11,389.50","11,244.60","1.35M","0.16%"
"Mar 04, 2020","11,251.00","11,351.35","11,356.60","11,082.15","797.65K","-0.46%"
"Mar 03, 2020","11,303.30","11,217.55","11,342.25","11,152.55","696.52K","1.53%"
"Mar 02, 2020","11,132.75","11,387.35","11,433.00","11,036.25","680.80K","-0.62%"
"Feb 28, 2020","11,201.75","11,382.00","11,384.80","11,175.05","809.90K","-3.71%"
"Feb 27, 2020","11,633.30","11,661.25","11,663.85","11,536.70","608.61K","-0.39%"
"Feb 26, 2020","11,678.50","11,738.55","11,783.25","11,639.60","567.63K","-1.01%"
"Feb 25, 2020","11,797.90","11,877.50","11,883.05","11,779.90","461.00K","-0.27%"
"Feb 24, 2020","11,829.40","12,012.55","12,012.55","11,813.40","490.80K","-2.08%"
"Feb 20, 2020","12,080.85","12,119.00","12,152.00","12,071.45","502.61K","-0.37%"
"Feb 19, 2020","12,125.90","12,090.60","12,134.70","12,042.10","513.57K","1.11%"
"Feb 18, 2020","11,992.50","12,028.25","12,030.75","11,908.05","676.85K","-0.44%"
"Feb 17, 2020","12,045.80","12,131.80","12,159.60","12,037.00","455.19K","-0.56%"
"Feb 14, 2020","12,113.45","12,190.15","12,246.70","12,091.20","622.78K","-0.50%"
"Feb 13, 2020","12,174.65","12,219.55","12,225.65","12,139.80","501.19K","-0.22%"
"Feb 12, 2020","12,201.20","12,151.00","12,231.75","12,144.30","411.73K","0.77%"
"Feb 11, 2020","12,107.90","12,108.40","12,172.30","12,099.00","479.98K","0.64%"
"Feb 10, 2020","12,031.50","12,102.35","12,103.55","11,990.75","524.71K","-0.55%"
"Feb 07, 2020","12,098.35","12,151.15","12,154.70","12,073.95","473.48K","-0.33%"
"Feb 06, 2020","12,137.95","12,120.00","12,160.60","12,084.65","565.12K","0.40%"
"Feb 05, 2020","12,089.15","12,005.85","12,098.15","11,953.35","758.03K","0.91%"
"Feb 04, 2020","11,979.65","11,786.25","11,986.15","11,783.40","560.43K","2.32%"
"Feb 03, 2020","11,707.90","11,627.45","11,749.85","11,614.50","669.82K","-2.13%"
"Jan 31, 2020","11,962.10","12,100.40","12,103.55","11,945.85","771.28K","-0.61%"
"Jan 30, 2020","12,035.80","12,147.75","12,150.30","12,010.60","538.14K","-0.77%"
"Jan 29, 2020","12,129.50","12,114.90","12,169.60","12,103.80","514.36K","0.61%"
"Jan 28, 2020","12,055.80","12,148.10","12,163.55","12,024.50","478.48K","-0.52%"
"Jan 27, 2020","12,119.00","12,197.10","12,216.60","12,107.00","441.16K","-1.06%"
"Jan 24, 2020","12,248.25","12,174.55","12,272.15","12,149.65","593.24K","0.56%"
"Jan 23, 2020","12,180.35","12,123.75","12,189.00","12,094.10","867.65K","0.61%"
"Jan 22, 2020","12,106.90","12,218.35","12,225.05","12,087.90","526.30K","-0.52%"
"Jan 21, 2020","12,169.85","12,195.30","12,230.05","12,162.30","443.98K","-0.45%"
"Jan 20, 2020","12,224.55","12,430.50","12,430.50","12,216.90","491.61K","-1.03%"
"Jan 17, 2020","12,352.35","12,328.40","12,385.45","12,321.40","502.06K","-0.03%"
"Jan 16, 2020","12,355.50","12,347.10","12,389.05","12,315.80","395.67K","0.10%"
"Jan 15, 2020","12,343.30","12,349.40","12,355.15","12,278.75","684.35K","-0.15%"
"Jan 14, 2020","12,362.30","12,333.10","12,374.25","12,308.70","616.26K","0.27%"
"Jan 13, 2020","12,329.55","12,296.70","12,337.75","12,285.80","500.97K","0.59%"
"Jan 10, 2020","12,256.80","12,271.00","12,311.20","12,213.20","660.63K","0.33%"
"Jan 09, 2020","12,215.90","12,153.15","12,224.05","12,132.55","477.47K","1.58%"
"Jan 08, 2020","12,025.35","11,939.10","12,044.95","11,929.60","445.99K","-0.23%"
"Jan 07, 2020","12,052.95","12,079.10","12,152.15","12,005.35","447.82K","0.50%"
"Jan 06, 2020","11,993.05","12,170.60","12,179.10","11,974.20","396.50K","-1.91%"
"Jan 03, 2020","12,226.65","12,261.10","12,265.60","12,191.35","428.77K","-0.45%"
